"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"RV6,RV5,RV4,RV3,RV2,RV1";"Potentiometer_Piher_PT-10-V10_Vertical";6;"R_Potentiometer_Trim";;;
2;"J1";"JST_XH_S13B-XH-A-1_1x13_P2.50mm_Horizontal";1;"Conn_01x13";;;
